data,instance,real,user,system,key
hcp,adrc,88028.98,88102.21,7.66,HCP_285348
hcp,adrc,81976.98,81660.77,11.47,HCP_285348
hcp,adrc,82067.75,82114.19,22.13,HCP_285348
hcp,adrc,80774.41,80841.61,8.19,HCP_285348
hcp,G2.2xlarge,10728.93,6726.27,4005.32,HCP_285348
hcp,G2.2xlarge,10727.72,7187.64,3542.31,HCP_285348
hcp,G2.2xlarge,10731.59,7199.9,3534.11,HCP_285348
hcp,G2.2xlarge,10727.7,7232.63,3497.38,HCP_285348
hcp,G2.2xlarge,10735.14,7208.86,3528.32,HCP_285348
